0,1,2,3
-794.4145889878273,-1127.7144730389118,-1128.4325338304043,-569.4222076535225
-793.4571745991707,-1118.9780667424202,-1119.9354811310768,-573.371542006731
-818.2302719056606,-1132.0228377878666,-1139.8018296957016,-603.4104184508324
-802.3132576942444,-1132.740898579359,-1135.613141745329,-577.2011995613575
-803.3903488814831,-1129.7489786148071,-1134.7754041552544,-581.8685947060585
-797.7655393481255,-1110.3613372445107,-1115.627116382122,-587.0146970450878
-789.5078402459621,-1109.8826300501823,-1118.3796827495098,-573.7305724024773
-792.8587906062603,-1120.7732187211514,-1125.5602906644344,-572.2944508194923
-796.0900641679764,-1111.079398036003,-1113.4729340076447,-585.698252260685
-806.6216224431992,-1122.4486939013004,-1124.4831994771957,-592.8788601756096
-804.826470464468,-1131.9031609892845,-1128.6718874275684,-579.9537659287453
-806.5019456446171,-1124.842229872942,-1125.4406138658524,-588.3311418294907
-801.3558433055878,-1108.2071548700333,-1112.6351964175701,-588.809849023819
-805.5445312559605,-1128.4325338304043,-1126.7570586502552,-584.7408378720284
-796.5687713623047,-1109.7629532516003,-1107.967801272869,-588.0917882323265
-804.5871168673038,-1127.953826636076,-1121.730633109808,-588.5704954266548
-812.7251391708851,-1138.1263545155525,-1129.1505946218967,-594.9133657515049
-796.8081249594688,-1107.967801272869,-1104.616850912571,-582.586655497551
-802.0739040970802,-1115.8664699792862,-1109.523599654436,-586.5359898507595
-809.9725728034973,-1136.5705561339855,-1129.0309178233147,-586.5359898507595
-805.1855008602142,-1125.4406138658524,-1113.4729340076447,-588.929525822401
-801.5951969027519,-1118.499359548092,-1107.6087708771229,-590.0066170096397
-805.3051776587963,-1129.0309178233147,-1120.6535419225693,-584.6211610734463
-777.3008067905903,-1099.8297789692879,-1082.4766431748867,-557.813558191061
-827.4453853964806,-1140.0411832928658,-1128.5522106289864,-621.481615036726
-816.1957663297653,-1132.8605753779411,-1120.055157929659,-600.7775288820267
-811.4086943864822,-1136.9295865297318,-1120.055157929659,-597.1872249245644
-799.9197217226028,-1112.515519618988,-1096.7181822061539,-590.1262938082218
-797.047478556633,-1116.3451771736145,-1099.5904253721237,-587.1343738436699
-803.9887328743935,-1132.0228377878666,-1117.9009755551815,-590.6050010025501
-799.5606913268566,-1116.4648539721966,-1104.9758813083172,-590.365647405386
-793.4571745991707,-1107.728447675705,-1093.6065854430199,-590.1262938082218
-799.2016609311104,-1124.0044922828674,-1106.8907100856304,-587.4934042394161
-786.5159202814102,-1104.2578205168247,-1084.630825549364,-567.6270556747913
-810.2119264006615,-1120.5338651239872,-1095.8804446160793,-599.1020537018776
-812.4857855737209,-1132.9802521765232,-1108.8055388629436,-597.1872249245644
-822.0599294602871,-1146.3840536177158,-1121.2519259154797,-599.4610840976238
-795.2523265779018,-1105.4545885026455,-1081.6389055848122,-576.8421691656113
-809.8528960049152,-1128.6718874275684,-1099.1117181777954,-593.7165977656841
-785.9175362884998,-1109.1645692586899,-1084.3914719522,-562.0022461414337
-819.0680094957352,-1136.5705561339855,-1104.9758813083172,-597.7856089174747
-812.7251391708851,-1124.3635226786137,-1096.2394750118256,-599.700437694788
-807.4593600332737,-1135.732818543911,-1102.4626685380936,-589.0492026209831
-807.6987136304379,-1132.3818681836128,-1102.1036381423473,-588.4508186280727
-799.5606913268566,-1114.6697019934654,-1079.0060160160065,-585.4588986635208
-814.0415839552879,-1134.177020162344,-1102.1036381423473,-597.4265785217285
-797.6458625495434,-1129.0309178233147,-1089.6572510898113,-576.363461971283
-798.9623073339462,-1114.1909947991371,-1077.4502176344395,-582.9456858932972
-799.4410145282745,-1115.627116382122,-1079.963430404663,-587.7327578365803
-809.0151584148407,-1133.0999289751053,-1100.4281629621983,-590.1262938082218
-802.9116416871548,-1123.286431491375,-1084.9898559451103,-589.5279098153114
-799.0819841325283,-1115.9861467778683,-1077.6895712316036,-589.1688794195652
-806.7412992417812,-1133.2196057736874,-1097.5559197962284,-592.2804761826992
-808.7758048176765,-1137.8870009183884,-1094.6836766302586,-591.0837081968784
-805.1855008602142,-1113.1139036118984,-1079.2453696131706,-593.596920967102
-804.5871168673038,-1125.5602906644344,-1086.186623930931,-584.0227770805359
-808.4167744219303,-1133.6983129680157,-1089.7769278883934,-588.3311418294907
-802.9116416871548,-1116.1058235764503,-1077.6895712316036,-588.929525822401
-803.6297024786472,-1119.6961275339127,-1081.9979359805584,-595.5117497444153
-788.4307490587234,-1109.8826300501823,-1069.5515489280224,-569.1828540563583
-803.6297024786472,-1119.6961275339127,-1081.9979359805584,-595.5117497444153
-788.4307490587234,-1109.8826300501823,-1069.5515489280224,-569.1828540563583
-808.2970976233482,-1126.398028254509,-1083.1947039663792,-596.8281945288181
-809.7332192063332,-1119.8158043324947,-1080.0831072032452,-598.7430233061314
-813.2038463652134,-1132.8605753779411,-1093.1278782486916,-599.9397912919521
-803.5100256800652,-1126.1586746573448,-1084.630825549364,-595.033042550087
-801.5951969027519,-1108.4465084671974,-1068.5941345393658,-592.2804761826992
-800.0393985211849,-1117.9009755551815,-1078.6469856202602,-581.5095643103123
-800.159075319767,-1121.0125723183155,-1083.075027167797,-583.5440698862076
-801.3558433055878,-1107.1300636827946,-1068.2351041436195,-586.4163130521774
-798.9623073339462,-1107.6087708771229,-1073.2615296840668,-589.7672634124756
-807.6987136304379,-1129.1505946218967,-1091.9311102628708,-593.7165977656841
-795.9703873693943,-1106.8907100856304,-1064.5251233875751,-580.5521499216557
-795.6113569736481,-1104.0184669196606,-1060.9348194301128,-590.2459706068039
-802.6722880899906,-1119.3370971381664,-1075.056681662798,-585.2195450663567
-793.2178210020065,-1105.2152349054813,-1063.8070625960827,-573.7305724024773
-786.3962434828281,-1086.6653311252594,-1046.8129571974277,-576.2437851727009
-831.155366152525,-1144.5889016389847,-1100.6675165593624,-617.7716342806816
-810.5709567964077,-1126.8767354488373,-1083.075027167797,-587.4934042394161
-801.2361665070057,-1106.29232609272,-1066.6793057620525,-587.4934042394161
-802.4329344928265,-1110.6006908416748,-1067.9957505464554,-586.7753434479237
-803.6297024786472,-1124.4831994771957,-1078.6469856202602,-580.9111803174019
-803.0313184857368,-1111.7974588274956,-1066.5596289634705,-589.4082330167294
-793.3374978005886,-1100.188809365034,-1054.4722723066807,-587.1343738436699
-801.3558433055878,-1121.2519259154797,-1072.184438496828,-580.7915035188198
-810.3316031992435,-1126.8767354488373,-1076.4928032457829,-587.6130810379982
-794.8932961821556,-1099.1117181777954,-1048.608109176159,-577.2011995613575
-796.9278017580509,-1113.4729340076447,-1059.3790210485458,-580.9111803174019
