0,1,2,3
-828.5224765837193,-1117.7812987565994,-816.6744735240936,-507.7886563837528
-820.9828382730484,-1126.8767354488373,-823.8550814390182,-501.92449325323105
-832.1127805411816,-1132.2621913850307,-822.2992830574512,-512.2166979312897
-829.0011837780476,-1113.8319644033909,-811.5283711850643,-515.3282946944237
-829.2405373752117,-1125.7996442615986,-819.6663934886456,-509.4641315639019
-817.5122111141682,-1116.2255003750324,-808.0577440261841,-496.65871411561966
-839.6524188518524,-1117.6616219580173,-821.4615454673767,-527.5353281497955
-818.828655898571,-1107.728447675705,-808.5364512205124,-503.8393220305443
-849.4659163355827,-1145.067608833313,-837.2588828802109,-524.9024385809898
-841.6869244277477,-1133.6983129680157,-822.5386366546154,-519.3973058462143
-839.6524188518524,-1117.6616219580173,-821.4615454673767,-527.5353281497955
-818.828655898571,-1107.728447675705,-808.5364512205124,-503.8393220305443
-849.4659163355827,-1145.067608833313,-837.2588828802109,-524.9024385809898
-841.6869244277477,-1133.6983129680157,-822.5386366546154,-519.3973058462143
-831.3947197496891,-1114.5500251948833,-812.1267551779747,-513.5331427156925
-830.9160125553608,-1130.4670394062996,-819.5467166900635,-506.47221159935
-831.3947197496891,-1124.6028762757778,-816.3154431283474,-510.30186915397644
-828.163446187973,-1111.079398036003,-803.9887328743935,-509.583808362484
-827.0863550007343,-1126.398028254509,-810.8103103935719,-508.26736357808113
-832.711164534092,-1130.8260698020458,-820.0254238843918,-507.7886563837528
-834.386639714241,-1118.2600059509277,-805.4248544573784,-518.5595682561398
-839.6524188518524,-1134.057343363762,-816.1957663297653,-521.7908418178558
-828.2831229865551,-1131.6638073921204,-816.3154431283474,-511.139606744051
-801.8345504999161,-1095.6410910189152,-778.497574776411,-484.9303878545761
-833.9079325199127,-1126.398028254509,-806.7412992417812,-517.0037698745728
-837.6179132759571,-1140.400213688612,-823.2566974461079,-519.0382754504681
-827.8044157922268,-1122.4486939013004,-804.1084096729755,-508.14768677949905
-855.8087866604328,-1149.0169431865215,-817.1531807184219,-534.3569056689739
-800.5181057155132,-1104.4971741139889,-785.4388290941715,-483.13523587584496
-840.1311260461807,-1146.1447000205517,-818.828655898571,-525.5008225739002
-839.4130652546883,-1120.6535419225693,-807.6987136304379,-521.7908418178558
-824.2141118347645,-1113.951641201973,-798.6032769382,-506.3525348007679
-837.1392060816288,-1129.509625017643,-815.8367359340191,-517.2431234717369
-835.942438095808,-1119.6961275339127,-803.6297024786472,-514.6102339029312
-829.9585981667042,-1111.7974588274956,-796.9278017580509,-514.9692642986774
-827.3257085978985,-1120.174834728241,-805.5445312559605,-509.4641315639019
-832.2324573397636,-1115.0287323892117,-799.3213377296925,-510.30186915397644
-811.2890175879002,-1081.1601983904839,-781.9682019352913,-498.21451249718666
-832.4718109369278,-1117.6616219580173,-809.493865609169,-512.2166979312897
-832.1127805411816,-1117.182914763689,-808.7758048176765,-513.1741123199463
-834.0276093184948,-1108.0874780714512,-800.2787521183491,-520.8334274291992
-826.9666782021523,-1104.4971741139889,-798.6032769382,-513.8921731114388
-802.6722880899906,-1084.2717951536179,-779.2156355679035,-480.14331591129303
-869.3322649002075,-1141.836335271597,-833.1898717284203,-550.034566283226
-843.4820764064789,-1108.6858620643616,-807.3396832346916,-526.697590559721
-838.8146812617779,-1114.9090555906296,-817.5122111141682,-521.1924578249454
-834.266962915659,-1107.1300636827946,-803.3903488814831,-518.5595682561398
-817.6318879127502,-1076.3731264472008,-778.0188675820827,-502.6425540447235
-849.2265627384186,-1126.0389978587627,-811.6480479836464,-523.9450241923332
-843.4820764064789,-1119.2174203395844,-815.8367359340191,-521.6711650192738
-839.6524188518524,-1102.9413757324219,-802.5526112914085,-527.4156513512135
-826.2486174106598,-1097.0772126019,-797.6458625495434,-509.10510116815567
-834.9850237071514,-1106.6513564884663,-810.2119264006615,-513.2937891185284
-812.9644927680492,-1067.517043352127,-771.7956740558147,-492.3503493666649
-855.4497562646866,-1104.9758813083172,-814.6399679481983,-535.9127040505409
-839.7720956504345,-1105.2152349054813,-814.0415839552879,-523.3466401994228
-844.2001371979713,-1096.957535803318,-809.2545120120049,-522.9876098036766
-842.8836924135685,-1085.7079167366028,-800.159075319767,-527.0566209554672
-825.5305566191673,-1085.4685631394386,-797.4065089523792,-513.2937891185284
-827.2060317993164,-1085.5882399380207,-804.826470464468,-514.1315267086029
-834.9850237071514,-1083.5537343621254,-795.1326497793198,-522.1498722136021
-823.3763742446899,-1076.4928032457829,-791.0636386275291,-516.6447394788265
-834.0276093184948,-1089.8966046869755,-804.7067936658859,-516.4053858816624
-842.4049852192402,-1090.3753118813038,-813.8022303581238,-531.1256321072578
-837.6179132759571,-1080.5618143975735,-796.0900641679764,-517.6021538674831
-826.0092638134956,-1082.835673570633,-796.9278017580509,-509.70348516106606
-840.9688636362553,-1087.2637151181698,-809.8528960049152,-524.4237313866615
-816.4351199269295,-1054.7116259038448,-778.8566051721573,-511.4986371397972
-826.1289406120777,-1070.508963316679,-782.0878787338734,-507.19027239084244
-859.6384442150593,-1115.627116382122,-837.378559678793,-545.4868479371071
-838.5753276646137,-1078.6469856202602,-797.2868321537971,-526.5779137611389
-832.1127805411816,-1068.5941345393658,-794.4145889878273,-517.4824770689011
