0,1,2,3
-10431.747825205326,-8044.435047090054,-8264.401002883911,-8021.935808956623
-6988.406976401806,-4686.663109272718,-4893.703970819712,-5005.841131091118
-11664.658204197884,-9414.854067653418,-9600.712135851383,-9041.462456077337
-11444.811925202608,-9092.205418676138,-9307.503979325294,-8908.022825658321
-7306.866937428713,-4918.596744924784,-5154.120684534311,-5309.8201994895935
-10233.323693156242,-8063.463658064604,-8223.47153776884,-7800.892761975527
-11855.18366754055,-9534.29151263833,-9724.338268786669,-9248.383640825748
-8853.21085190773,-6426.644083857536,-6670.9044297635555,-6648.883898824453
-12050.137172430754,-9776.27799937129,-9954.596429258585,-9394.509011894464
-10493.261699676514,-8097.691222459078,-8326.632938146591,-8086.082572996616
-7026.344521552324,-4733.3370607197285,-4932.957960754633,-5039.350634694099
-11658.554687470198,-9470.743132591248,-9615.55205887556,-9043.496961653233
-11448.521905958652,-9114.106272816658,-9322.702932745218,-8896.892883390188
-7407.993832230568,-5012.30367821455,-5271.164593547583,-5395.628464072943
-10340.195074290037,-8178.951768696308,-8340.276093184948,-7884.06813699007
-11897.549254238605,-9578.332574516535,-9786.450527250767,-9277.345426082611
-8903.116076916456,-6508.263660490513,-6756.593017548323,-6701.422013401985
-8360.142441749573,-6172.689917266369,-6367.164714962244,-6176.878605216742
-12061.98517549038,-9795.067256748676,-9981.045001745224,-9400.732205420732
-10496.971680432558,-8085.364512205124,-8344.225427538157,-8067.412992417812
-7043.8173341453075,-4722.925179243088,-4979.990942597389,-5058.498922467232
-11679.378450423479,-9450.15872323513,-9644.394167333841,-9052.113691151142
-11493.520382225513,-9137.443248540163,-9383.020039230585,-8931.59915497899
-7389.922635644674,-5005.841131091118,-5257.16240811348,-5370.3766595721245
-10326.312565654516,-8163.274108082056,-8343.2680131495,-7865.6379100084305
-11906.644690930843,-9619.022686034441,-9823.310981214046,-9301.400462597609
-8890.310659468174,-6505.511094123125,-6741.992448121309,-6694.361082285643
-8346.618963509798,-6178.075373202562,-6349.931255966425,-6175.442483633757
-12097.289831072092,-9842.100238591433,-10014.075798153877,-9448.602924853563
-10515.52158421278,-8155.854146569967,-8369.357555240393,-8110.017932713032
-7060.213055551052,-4793.414813607931,-4978.31546741724,-5089.49521329999
-11762.912855833769,-9563.133621096611,-9701.36032345891,-9138.161309331656
-11514.703175574541,-9174.662732899189,-9366.02593383193,-8983.538885563612
-7378.433662980795,-5004.524686306715,-5225.208702892065,-5388.687209755182
-10337.562184721231,-8184.2175478339195,-8289.65280738473,-7896.514524042606
-11891.804767906666,-9602.507287830114,-9753.539407640696,-9299.605310618877
-8874.393645256758,-6500.0059613883495,-6698.7891238331795,-6696.993971854448
-8351.765065848827,-6220.3212831020355,-6330.423937797546,-6200.335257738829
-12104.350762188435,-9832.047387510538,-9991.097852826118,-9488.574975579977
-10503.912934750319,-8148.075154662132,-8330.223242104053,-8132.8762012422085
-7059.734348356724,-4796.167379975319,-4954.499784499407,-5110.438653051853
