0,1,2,3
-731.7039465308189,-991.7616298496723,-746.7832231521606,-488.28133821487427
-733.8581289052963,-1008.1573512554169,-760.4263781905174,-490.6748741865158
-746.4241927564144,-1013.3034535944462,-754.2031846642494,-499.88998767733574
-733.8581289052963,-990.0861546695232,-735.7729576826096,-485.16974145174026
-741.038736820221,-1010.5508872270584,-745.4667783677578,-484.81071105599403
-726.4381673932076,-997.6257929801941,-753.7244774699211,-485.4090950489044
-699.6305645108223,-956.2176206707954,-710.8801835775375,-461.5934121310711
-758.9902566075325,-1020.843091905117,-775.6253316104412,-515.5676482915878
-762.5805605649948,-1027.1859622299671,-775.1466244161129,-512.0970211327076
-735.4139272868633,-1002.5325417220592,-745.1077479720116,-494.3848549425602
-737.2090792655945,-1002.0538345277309,-749.8948199152946,-490.91422778367996
-715.6672555208206,-974.8872012495995,-717.3427307009697,-473.0823847949505
-714.9491947293282,-987.6926186978817,-736.6106952726841,-474.39882957935333
-722.7281866371632,-986.9745579063892,-735.6532808840275,-475.5955975651741
-753.7244774699211,-1009.3541192412376,-744.5093639791012,-508.028009980917
-743.5519495904446,-1004.9260776937008,-764.1363589465618,-505.1557668149471
-743.7913031876087,-1011.508301615715,-767.48730930686,-496.0603301227093
-733.8581289052963,-986.0171435177326,-733.2597449123859,-490.0764901936054
-753.7244774699211,-1013.9018375873566,-752.1686790883541,-505.7541508078575
-739.1239080429077,-1008.7557352483273,-764.375712543726,-496.18000692129135
-736.2516648769379,-990.3255082666874,-745.5864551663399,-492.3503493666649
-728.712026566267,-975.9642924368382,-740.3206760287285,-491.8716421723366
-721.0527114570141,-972.9723724722862,-744.6290407776833,-483.0155590772629
-745.706131964922,-1004.9260776937008,-770.4792292714119,-505.3951204121113
-742.1158280074596,-987.8122954964638,-742.9535655975342,-498.21451249718666
-714.3508107364178,-968.0656237304211,-716.1459627151489,-471.76594001054764
-740.5600296258926,-994.7535498142242,-755.7589830458164,-498.0948356986046
-767.2479557096958,-1015.0986055731773,-777.7795139849186,-526.697590559721
-746.1848391592503,-995.7109642028809,-739.3632616400719,-493.54711735248566
-737.0894024670124,-985.6581131219864,-753.2457702755928,-497.4964517056942
