0,1,2,3
-10265.277398377657,-8832.985472947359,-8762.974545776844,-7506.009130269289
-11504.051940500736,-9918.214682489634,-9936.644909471273,-8747.296885162592
-8180.746920675039,-6595.268693059683,-6530.523545026779,-5774.4055315852165
-8245.013361513615,-6835.699381411076,-6700.823629409075,-5711.096505135298
-11819.280627965927,-10233.323693156242,-10224.58728685975,-9015.13356038928
-9933.054605513811,-8344.345104336739,-8286.301857024431,-7382.382997334003
-6688.975626349449,-5265.420107215643,-5078.843978226185,-4386.154668033123
-11527.987300217152,-10005.339391857386,-9948.492912530899,-8705.529682457447
-11069.026777654886,-9452.193228811026,-9433.164617836475,-8397.601279705763
-6751.6862688064575,-5228.080946058035,-5069.150157541037,-4495.778615534306
-10212.140899807215,-8739.757246851921,-8638.630352050066,-7483.749245733023
-11513.865437984467,-9908.042154610157,-9866.75365909934,-8766.20581933856
-8237.713076800108,-6629.256903856993,-6529.925161033869,-5850.998682677746
-8269.188074827194,-6854.608315587044,-6662.766407459974,-5753.701445430517
-11805.517796128988,-10222.433104485273,-10161.996321201324,-9005.439739704132
-9897.390919536352,-8280.318017095327,-8188.28655898571,-7347.317695349455
-6681.7950184345245,-5229.756421238184,-5005.003393501043,-4380.410181701183
-11528.226653814316,-9951.006125301123,-9875.131035000086,-8717.976069509983
-11055.622976213694,-9410.665379703045,-9361.238861888647,-8395.08806693554
-6749.053379237652,-5193.973058462143,-5004.165655910969,-4514.089165717363
-11530.73986658454,-9913.666964143515,-9822.712597221136,-8807.494314849377
-8191.398155748844,-6551.107954382896,-6408.3335336744785,-5826.704292565584
-8178.47306150198,-6716.381613224745,-6494.381151854992,-5687.759529411793
-11797.738804221153,-10156.132158070803,-10060.86942639947,-9013.099054813385
-9950.168387711048,-8295.516970515251,-8166.9840888381,-7412.421873778105
-6669.707661777735,-5180.329903423786,-4924.4609080553055,-4396.566549509764
-11564.967430979013,-9984.395952105522,-9839.10831862688,-8761.53842419386
-11046.407862722874,-9381.5839176476,-9281.653790831566,-8411.962495535612
-6729.187030673027,-5147.897491008043,-4917.160623341799,-4519.235268056393
-10212.380253404379,-8687.697839468718,-8502.198801666498,-7519.652285307646
-11514.822852373123,-9852.87115046382,-9751.744255661964,-8802.587566107512
-8211.623534709215,-6556.134379923344,-6390.142660290003,-5864.043453723192
-8226.583134531975,-6747.377904057503,-6494.85985904932,-5744.366655141115
-11801.56846177578,-10116.878168135881,-10035.976652294397,-9031.050574600697
