0,1,2,3
-893.9856854081154,-1074.5779744684696,-968.6640077233315,-626.2686869800091
-894.943099796772,-1080.3224608004093,-974.7675244510174,-621.6012918353081
-896.3792213797569,-1093.845939040184,-982.0678091645241,-614.3010071218014
-898.054696559906,-1084.3914719522,-974.169140458107,-624.4735350012779
-893.387301415205,-1078.407632023096,-972.7330188751221,-626.2686869800091
-897.4563125669956,-1089.178543895483,-982.5465163588524,-621.2422614395618
-896.498898178339,-1089.7769278883934,-981.8284555673599,-624.8325653970242
-891.7118262350559,-1073.620560079813,-968.4246541261673,-620.8832310438156
-893.9856854081154,-1080.0831072032452,-977.1610604226589,-615.8568055033684
-898.5334037542343,-1089.6572510898113,-984.5810219347477,-618.8487254679203
-896.498898178339,-1089.7769278883934,-981.8284555673599,-624.8325653970242
-891.7118262350559,-1073.620560079813,-968.4246541261673,-620.8832310438156
-893.9856854081154,-1080.0831072032452,-977.1610604226589,-615.8568055033684
-898.5334037542343,-1089.6572510898113,-984.5810219347477,-618.8487254679203
-892.0708566308022,-1072.6631456911564,-972.2543116807938,-620.2848470509052
-888.3608758747578,-1081.1601983904839,-977.8791212141514,-622.9177366197109
-894.1053622066975,-1088.3408063054085,-988.17132589221,-615.4977751076221
-896.1398677825928,-1082.4766431748867,-978.3578284084797,-619.5667862594128
-891.9511798322201,-1072.7828224897385,-975.1265548467636,-621.7209686338902
-891.831503033638,-1089.058867096901,-988.17132589221,-620.2848470509052
-896.3792213797569,-1090.1359582841396,-988.0516490936279,-618.9684022665024
-886.5657238960266,-1066.7989825606346,-969.7410989105701,-621.0029078423977
-891.2331190407276,-1083.5537343621254,-982.7858699560165,-623.6357974112034
-895.5414837896824,-1090.1359582841396,-991.8813066482544,-618.2503414750099
-889.9166742563248,-1075.7747424542904,-977.8791212141514,-622.6783830225468
-890.1560278534889,-1084.0324415564537,-980.6316875815392,-624.9522421956062
-894.5840694010258,-1093.1278782486916,-993.3174282312393,-621.8406454324722
-891.1134422421455,-1084.8701791465282,-981.948132365942,-622.1996758282185
-886.8050774931908,-1080.9208447933197,-979.1955659985542,-620.6438774466515
-888.9592598676682,-1089.298220694065,-989.0090634822845,-618.2503414750099
-894.1053622066975,-1089.7769278883934,-990.0861546695232,-620.4045238494873
-887.5231382846832,-1075.17635846138,-977.280737221241,-622.5587062239647
-890.7544118463993,-1084.8701791465282,-988.6500330865383,-619.925816655159
-893.6266550123692,-1095.7607678174973,-992.5993674397469,-618.4896950721741
-889.9166742563248,-1073.9795904755592,-977.7594444155693,-620.4045238494873
-888.4805526733398,-1080.6814911961555,-980.1529803872108,-619.6864630579948
-892.3102102279663,-1096.2394750118256,-990.5648618638515,-616.3355126976967
-892.4298870265484,-1084.8701791465282,-987.6926186978817,-626.8670709729195
-883.4541271328926,-1080.6814911961555,-980.0333035886288,-624.7128885984421
-889.4379670619965,-1090.4949886798859,-991.0435690581799,-619.4471094608307
-889.9166742563248,-1088.6998367011547,-987.5729418992996,-620.1651702523232
-884.6508951187134,-1071.2270241081715,-972.4936652779579,-622.3193526268005
-886.2066935002804,-1081.9979359805584,-992.7190442383289,-623.6357974112034
-892.7889174222946,-1089.7769278883934,-993.5567818284035,-619.0880790650845
-885.8476631045341,-1079.3650464117527,-985.7777899205685,-618.4896950721741
-890.6347350478172,-1091.0933726727962,-992.5993674397469,-618.7290486693382
-888.4805526733398,-1083.6734111607075,-982.1874859631062,-620.8832310438156
-884.2918647229671,-1071.7057313024998,-977.5200908184052,-623.2767670154572
-885.60830950737,-1087.3833919167519,-990.0861546695232,-621.9603222310543
-891.1134422421455,-1084.630825549364,-986.2564971148968,-622.3193526268005
-880.7015607655048,-1071.1073473095894,-972.7330188751221,-625.1915957927704
-884.4115415215492,-1086.066947132349,-989.9664778709412,-622.1996758282185
-890.6347350478172,-1095.6410910189152,-996.1896713972092,-622.0799990296364
-884.052511125803,-1077.6895712316036,-980.392333984375,-624.59321179986
-883.4541271328926,-1080.9208447933197,-983.7432843446732,-625.6703029870987
-885.4886327087879,-1092.409817457199,-993.9158122241497,-619.3274326622486
-884.5312183201313,-1084.511148750782,-986.3761739134789,-626.5080405771732
-882.3770359456539,-1076.851833641529,-980.7513643801212,-627.9441621601582
-881.6589751541615,-1093.0082014501095,-991.5222762525082,-620.4045238494873
-889.5576438605785,-1092.290140658617,-993.5567818284035,-625.7899797856808
-886.3263702988625,-1095.521414220333,-996.7880553901196,-625.3112725913525
-883.4541271328926,-1078.407632023096,-984.2219915390015,-629.4999605417252
-885.8476631045341,-1085.2292095422745,-990.8042154610157,-629.260606944561
-890.275704652071,-1096.4788286089897,-998.5832073688507,-620.7635542452335
-887.8821686804295,-1084.7505023479462,-992.0009834468365,-627.5851317644119
-881.5392983555794,-1077.0911872386932,-982.7858699560165,-626.7473941743374
-884.7705719172955,-1091.5720798671246,-997.8651465773582,-626.149010181427
-884.2918647229671,-1093.845939040184,-996.7880553901196,-629.3802837431431
-879.9834999740124,-1076.732156842947,-981.948132365942,-629.1409301459789
-883.2147735357285,-1087.503068715334,-993.4371050298214,-627.5851317644119
-884.6508951187134,-1097.7952733933926,-998.7028841674328,-625.7899797856808
-880.7015607655048,-1079.1256928145885,-984.9400523304939,-628.7818997502327
-883.3344503343105,-1085.8275935351849,-989.1287402808666,-626.9867477715015
-885.9673399031162,-1096.3591518104076,-1001.6948041319847,-623.9948278069496
-883.0950967371464,-1089.8966046869755,-993.6764586269855,-627.3457781672478
-879.5047927796841,-1077.3305408358574,-987.4532651007175,-629.260606944561
-881.5392983555794,-1093.0082014501095,-995.2322570085526,-624.9522421956062
-886.5657238960266,-1093.6065854430199,-997.8651465773582,-628.7818997502327
-876.0341656208038,-1076.3731264472008,-985.2990827262402,-630.3376981317997
-878.4277015924454,-1092.7688478529453,-995.8306410014629,-623.7554742097855
-887.0444310903549,-1097.5559197962284,-1003.6096329092979,-625.6703029870987
-880.1031767725945,-1080.0831072032452,-986.615527510643,-628.1835157573223
-879.385115981102,-1085.2292095422745,-991.8813066482544,-629.0212533473969
-882.7360663414001,-1095.521414220333,-999.3012681603432,-624.4735350012779
-881.4196215569973,-1089.4178974926472,-990.8042154610157,-627.5851317644119
-875.3161048293114,-1079.2453696131706,-988.2910026907921,-627.4654549658298
-881.6589751541615,-1095.6410910189152,-996.3093481957912,-623.3964438140392
-882.2573591470718,-1095.282060623169,-997.7454697787762,-624.4735350012779
-875.5554584264755,-1077.8092480301857,-981.1103947758675,-625.6703029870987
-874.5980440378189,-1087.3833919167519,-993.5567818284035,-621.0029078423977
-883.0950967371464,-1096.1197982132435,-998.4635305702686,-621.8406454324722
-878.0686711966991,-1079.3650464117527,-988.5303562879562,-625.0719189941883
-878.0686711966991,-1084.0324415564537,-989.4877706766129,-621.7209686338902
-878.7867319881916,-1094.8033534288406,-999.061914563179,-620.7635542452335
-877.5899640023708,-1084.2717951536179,-990.5648618638515,-623.9948278069496
-873.6406296491623,-1080.9208447933197,-983.8629611432552,-626.6277173757553
-875.1964280307293,-1094.0852926373482,-997.9848233759403,-615.9764823019505
-878.0686711966991,-1094.0852926373482,-996.0699945986271,-620.0454934537411
-871.8454776704311,-1077.0911872386932,-980.0333035886288,-626.7473941743374
-874.9570744335651,-1088.9391902983189,-993.3174282312393,-620.6438774466515
-878.9064087867737,-1093.4869086444378,-1000.617712944746,-620.8832310438156
-878.1883479952812,-1082.4766431748867,-985.2990827262402,-627.1064245700836
-877.4702872037888,-1084.8701791465282,-992.7190442383289,-623.037413418293
-879.2654391825199,-1096.1197982132435,-997.7454697787762,-621.481615036726
-877.3506104052067,-1089.7769278883934,-990.0861546695232,-621.9603222310543
-872.6832152605057,-1077.8092480301857,-979.4349195957184,-628.0638389587402
