0,1,2,3
-762.4608837664127,-982.7858699560165,-753.7244774699211,-496.5390373170376
-774.7875940203667,-1004.2080169022083,-767.0086021125317,-507.3099491894245
-777.8991907835007,-987.4532651007175,-750.8522343039513,-509.583808362484
-770.9579364657402,-983.7432843446732,-752.2883558869362,-499.29160368442535
-774.5482404232025,-996.7880553901196,-761.1444389820099,-503.48029163479805
-742.4748584032059,-954.7814990878105,-722.3691562414169,-477.98913353681564
-791.6620226204395,-994.394519418478,-766.7692485153675,-526.5779137611389
-772.0350276529789,-987.3335883021355,-759.708317399025,-500.4883716702461
-780.1730499565601,-980.2726571857929,-754.8015686571598,-507.07059559226036
-779.933696359396,-980.392333984375,-749.1767591238022,-512.8150819242001
-780.1730499565601,-980.2726571857929,-754.8015686571598,-507.07059559226036
-779.933696359396,-980.392333984375,-749.1767591238022,-512.8150819242001
-771.7956740558147,-978.2381516098976,-753.8441542685032,-502.1638468503952
-778.8566051721573,-981.4694251716137,-759.708317399025,-508.74607077240944
-770.8382596671581,-955.1405294835567,-741.8764744102955,-503.1212612390518
-774.1892100274563,-967.4672397375107,-755.9983366429806,-501.2064324617386
-770.0005220770836,-966.2704717516899,-760.3067013919353,-501.32610926032066
-779.8140195608139,-953.943761497736,-752.1686790883541,-506.47221159935
-760.3067013919353,-925.5803602337837,-730.9858857393265,-487.0845702290535
-740.2009992301464,-921.6310258805752,-722.2494794428349,-464.94436249136925
-802.6722880899906,-971.6559276878834,-778.1385443806648,-529.0911265313625
-789.7471938431263,-944.9680016040802,-755.2802758514881,-518.2005378603935
-781.6091715395451,-946.5237999856472,-761.264115780592,-509.3444547653198
-783.6436771154404,-947.6008911728859,-762.7002373635769,-512.4560515284538
-769.2824612855911,-916.72427713871,-737.0894024670124,-503.95899882912636
-771.4366436600685,-925.5803602337837,-746.7832231521606,-499.77031087875366
-790.2259010374546,-949.276366353035,-765.931510925293,-513.4134659171104
-787.5930114686489,-927.3755122125149,-748.0996679365635,-509.583808362484
-771.3169668614864,-916.72427713871,-737.6877864599228,-498.4538660943508
-775.5056548118591,-928.3329266011715,-750.373527109623,-499.88998767733574
-753.9638310670853,-900.8072629272938,-727.2759049832821,-482.05814468860626
-802.7919648885727,-943.053172826767,-767.606986105442,-533.2798144817352
-803.1509952843189,-955.2602062821388,-778.6172515749931,-528.4927425384521
-770.3595524728298,-921.391672283411,-752.2883558869362,-500.0096644759178
-775.9843620061874,-915.5275091528893,-739.482938438654,-507.66897958517075
-772.9924420416355,-911.0994676053524,-743.5519495904446,-493.66679415106773
-786.156889885664,-930.8461393713951,-761.6231461763382,-509.70348516106606
-786.0372130870819,-919.4768435060978,-747.0225767493248,-511.73799073696136
-787.3536578714848,-921.271995484829,-748.6980519294739,-517.9611842632294
-780.8911107480526,-923.5458546578884,-756.3573670387268,-507.07059559226036
-765.2134501338005,-900.9269397258759,-733.1400681138039,-492.7093797624111
-783.5240003168583,-909.6633460223675,-745.706131964922,-515.0889410972595
-788.4307490587234,-929.2903409898281,-762.1018533706665,-514.1315267086029
-794.5342657864094,-928.3329266011715,-764.9740965366364,-522.6285794079304
-781.0107875466347,-896.7382517755032,-740.9190600216389,-508.8657475709915
-777.8991907835007,-905.1156276762486,-746.7832231521606,-512.8150819242001
-792.380083411932,-914.8094483613968,-753.3654470741749,-524.0647009909153
-775.6253316104412,-888.719906270504,-738.1664936542511,-507.3099491894245
-776.5827459990978,-905.7140116691589,-755.6393062472343,-509.9428387582302
-778.497574776411,-899.3711413443089,-749.8948199152946,-511.73799073696136
-751.3309414982796,-861.4335961937904,-714.9491947293282,-484.21232706308365
-805.3051776587963,-917.9210451245308,-777.1811299920082,-534.7159360647202
-806.9806528389454,-926.6574514210224,-777.7795139849186,-536.032380849123
-785.6781826913357,-891.5921494364738,-750.6128807067871,-519.2776290476322
-773.83017963171,-887.4034614861012,-745.825808763504,-507.3099491894245
