0,1,2,3
-719.7362666726112,-986.615527510643,-738.5255240499973,-509.22477796673775
-733.6187753081322,-1003.4899561107159,-735.2942504882812,-511.37896034121513
-720.4543274641037,-995.5912874042988,-727.3955817818642,-510.4215459525585
-729.9087945520878,-1001.4554505348206,-734.2171593010426,-521.9105186164379
-697.8354125320911,-961.1243694126606,-698.3141197264194,-499.88998767733574
-730.267824947834,-1012.3460392057896,-737.927140057087,-512.2166979312897
-725.2413994073868,-1004.8064008951187,-737.8074632585049,-513.8921731114388
-696.9976749420166,-958.1324494481087,-688.0219150483608,-483.9729734659195
-707.2898796200752,-983.3842539489269,-697.3567053377628,-484.0926502645016
-767.8463397026062,-1043.3423300385475,-739.602615237236,-534.9552896618843
-761.5034693777561,-1024.6727494597435,-734.5761896967888,-535.9127040505409
-703.9389292597771,-975.0068780481815,-718.5394986867905,-495.8209765255451
-727.7546121776104,-1001.4554505348206,-732.9007145166397,-504.1983524262905
-719.377236276865,-995.4716106057167,-708.7260012030602,-502.1638468503952
-729.7891177535057,-999.061914563179,-704.2979596555233,-512.2166979312897
-714.5901643335819,-991.4025994539261,-720.8133578598499,-498.5735428929329
-723.3265706300735,-998.9422377645969,-729.0710569620132,-506.59188839793205
-708.486647605896,-974.6478476524353,-685.149671882391,-489.1190758049488
-740.6797064244747,-1017.1331111490726,-735.0548968911171,-527.6550049483776
-721.8904490470886,-1013.064099997282,-696.1599373519421,-497.4964517056942
-679.8838927447796,-943.7712336182594,-666.480091303587,-465.3033928871155
-728.2333193719387,-998.3438537716866,-722.2494794428349,-517.4824770689011
-751.2112646996975,-1039.9913796782494,-745.5864551663399,-522.3892258107662
-747.381607145071,-1030.5369125902653,-713.0343659520149,-520.474397033453
-701.6650700867176,-975.724938839674,-696.5189677476883,-498.69321969151497
-718.8985290825367,-1010.7902408242226,-706.930849224329,-501.32610926032066
-742.4748584032059,-1028.2630534172058,-719.4969130754471,-508.3870403766632
-723.4462474286556,-988.7697098851204,-723.2068938314915,-515.5676482915878
-737.0894024670124,-1014.0215143859386,-710.4014763832092,-510.18219235539436
-721.2920650541782,-1006.2425224781036,-718.3001450896263,-505.03609001636505
-747.8603143393993,-1022.1595366895199,-710.8801835775375,-526.9369441568851
-706.2127884328365,-983.9826379418373,-696.5189677476883,-489.47810620069504
-734.0974825024605,-1020.723415106535,-725.2413994073868,-509.10510116815567
-720.8133578598499,-998.8225609660149,-672.9426384270191,-485.0500646531582
-713.9917803406715,-977.7594444155693,-705.2553740441799,-509.9428387582302
-734.4565128982067,-1018.5692327320576,-720.0952970683575,-515.9266786873341
-754.3228614628315,-1048.727785974741,-727.0365513861179,-523.3466401994228
-726.4381673932076,-997.1470857858658,-709.5637387931347,-510.5412227511406
-741.038736820221,-1028.1433766186237,-729.4300873577595,-527.4156513512135
-721.2920650541782,-1009.952503234148,-706.8111724257469,-495.9406533241272
-720.3346506655216,-1000.9767433404922,-700.707655698061,-502.1638468503952
-712.5556587576866,-992.4796906411648,-668.5145968794823,-482.05814468860626
-729.9087945520878,-1027.066285431385,-740.7993832230568,-517.1234466731548
