0,1,2,3
-735.4139272868633,-1014.619898378849,-774.3088868260384,-494.7438853383064
-735.0548968911171,-1000.9767433404922,-757.9131654202938,-498.69321969151497
-730.7465321421623,-996.7880553901196,-756.3573670387268,-491.7519653737545
-733.9778057038784,-1001.8144809305668,-763.0592677593231,-492.3503493666649
-741.2780904173851,-1007.5589672625065,-773.5908260345459,-508.3870403766632
-731.823623329401,-989.727124273777,-753.604800671339,-500.24901807308197
-733.4990985095501,-1005.165431290865,-764.495389342308,-493.1880869567394
-738.4058472514153,-1003.9686633050442,-768.6840772926807,-499.29160368442535
-732.3023305237293,-991.6419530510902,-755.6393062472343,-498.33418929576874
-732.7810377180576,-997.1470857858658,-764.8544197380543,-494.8635621368885
-732.3023305237293,-991.6419530510902,-755.6393062472343,-498.33418929576874
-732.7810377180576,-997.1470857858658,-764.8544197380543,-494.8635621368885
-732.5416841208935,-1003.0112489163876,-772.0350276529789,-491.99131897091866
-745.706131964922,-1006.4818760752678,-774.3088868260384,-508.74607077240944
-716.9837003052235,-976.5626764297485,-746.4241927564144,-481.69911429286003
-725.0020458102226,-997.6257929801941,-770.1201988756657,-488.0419846177101
-758.152519017458,-1022.5185670852661,-787.3536578714848,-518.4398914575577
-739.9616456329823,-998.8225609660149,-763.8970053493977,-503.5999684333801
-733.379421710968,-1002.5325417220592,-768.5644004940987,-493.7864709496498
-737.8074632585049,-1006.840906471014,-773.1121188402176,-498.9325732886791
-736.7303720712662,-990.0861546695232,-759.5886406004429,-503.8393220305443
-729.9087945520878,-997.7454697787762,-761.7428229749203,-492.58970296382904
-730.7465321421623,-1003.3702793121338,-769.6414916813374,-492.8290565609932
-738.5255240499973,-998.9422377645969,-764.6150661408901,-498.33418929576874
-737.3287560641766,-997.8651465773582,-762.3412069678307,-503.360614836216
-726.0791369974613,-998.9422377645969,-763.2986213564873,-487.32392382621765
-735.2942504882812,-998.2241769731045,-763.7773285508156,-495.4619461297989
-735.0548968911171,-984.3416683375835,-756.3573670387268,-505.1557668149471
-743.1929191946983,-1011.508301615715,-774.0695332288742,-504.1983524262905
-739.8419688344002,-1005.8834920823574,-769.162784487009,-500.7277252674103
-736.2516648769379,-994.1551658213139,-764.7347429394722,-493.7864709496498
-735.5336040854454,-1001.2160969376564,-766.6495717167854,-494.8635621368885
-739.1239080429077,-992.3600138425827,-759.708317399025,-501.44578605890274
-730.8662089407444,-985.4187595248222,-756.9557510316372,-499.29160368442535
-732.4220073223114,-1001.3357737362385,-764.8544197380543,-491.51261177659035
-739.7222920358181,-999.3012681603432,-762.7002373635769,-496.8980677127838
-733.7384521067142,-979.9136267900467,-751.2112646996975,-499.1719268858433
-736.2516648769379,-998.9422377645969,-765.6921573281288,-502.88190764188766
-745.2274247705936,-1006.1228456795216,-771.6759972572327,-506.59188839793205
-733.7384521067142,-989.0090634822845,-754.4425382614136,-502.7622308433056
-736.8500488698483,-996.4290249943733,-763.6576517522335,-502.0441700518131
-738.2861704528332,-1000.9767433404922,-767.48730930686,-495.58162292838097
-734.935220092535,-988.7697098851204,-753.1260934770107,-501.0867556631565
-736.7303720712662,-989.9664778709412,-755.040922254324,-499.5309572815895
-733.4990985095501,-996.6683785915375,-764.375712543726,-495.3422693312168
-740.7993832230568,-998.8225609660149,-759.1099334061146,-504.916413217783
-751.92932549119,-1000.2586825489998,-761.9821765720844,-517.6021538674831
-737.4484328627586,-1002.4128649234772,-762.939590960741,-499.29160368442535
-735.6532808840275,-998.4635305702686,-761.9821765720844,-494.2651781439781
-736.2516648769379,-979.1955659985542,-745.1077479720116,-499.6506340801716
-734.935220092535,-999.5406217575073,-760.4263781905174,-505.2754436135292
-739.3632616400719,-1003.4899561107159,-761.8624997735023,-496.0603301227093
-739.0042312443256,-993.7961354255676,-757.9131654202938,-503.1212612390518
-734.4565128982067,-987.5729418992996,-752.2883558869362,-500.36869487166405
-735.0548968911171,-997.3864393830299,-762.4608837664127,-495.10291573405266
-740.4403528273106,-1002.173511326313,-764.2560357451439,-507.9083331823349
